disease,symptom_1,symptom_2,symptom_3,symptom_4
Diabetes,blurred vision,,fatigue,increased thirst
Hypertension,dizziness,nosebleeds,headache,blurred vision
Allergy,sneezing,rash,cough,itchy eyes
Migraine,vomiting,nausea,,sensitivity to light
Asthma,shortness of breath,chest pain,,cough
Anemia,cold hands and feet,weakness,fatigue,dizziness
Acid Peptic Disease,heartburn,,nausea,indigestion
Hypertension,nosebleeds,,blurred vision,dizziness
Anemia,fatigue,chest pain,headache,cold hands and feet
Typhoid,headache,high fever,weakness,stomach pain
Gastroenteritis,stomach pain,muscle ache,headache,fever
COVID-19,sweating,muscle pain,fatigue,
COVID-19,,loss of taste,fatigue,
Gastroenteritis,fever,stomach pain,headache,diarrhea
Acid Peptic Disease,loss of appetite,,,heartburn
Anemia,headache,chest pain,weakness,fatigue
Asthma,,fatigue,cough,chest pain
Gastroenteritis,vomiting,nausea,muscle ache,diarrhea
Dengue,,rash,vomiting,
Acid Peptic Disease,vomiting,stomach pain,loss of appetite,nausea
Pneumonia,,,cough,sweating
COVID-19,,,fatigue,difficulty breathing
Diabetes,,unexplained weight loss,increased thirst,blurred vision
Viral Fever,headache,sweating,fatigue,
Hypertension,itchy eyes,dizziness,headache,
Gastroenteritis,vomiting,diarrhea,fever,nausea
Typhoid,,high fever,rash,
Common Cold,sneezing,congestion,fatigue,runny nose
Gastroenteritis,fever,vomiting,muscle ache,stomach pain
Dengue,joint pain,severe headache,rash,muscle pain
Typhoid,stomach pain,headache,high fever,weakness
Typhoid,,rash,,weakness
Anemia,dizziness,fatigue,headache,chest pain
Viral Fever,fever,,,fatigue
Malaria,,sweating,nausea,chills
Diabetes,blurred vision,frequent urination,increased thirst,
Hypertension,nausea,dizziness,chest pain,shortness of breath
Pneumonia,chest pain,,difficulty breathing,
Common Cold,cough,headache,congestion,fatigue
Asthma,,cough,fatigue,
Hypertension,,headache,nosebleeds,shortness of breath
Viral Fever,sweating,,mild cough,
Acid Peptic Disease,loss of appetite,vomiting,indigestion,stomach pain
Dengue,joint pain,rash,,
Gastroenteritis,nausea,diarrhea,vomiting,headache
COVID-19,loss of smell,loss of taste,cough,
Viral Fever,chills,headache,sweating,body ache
Acid Peptic Disease,indigestion,heartburn,vomiting,loss of appetite
Acid Peptic Disease,,stomach pain,loss of appetite,nausea
Viral Fever,chills,fever,fatigue,mild cough
Typhoid,loss of appetite,headache,,rash
Acid Peptic Disease,stomach pain,indigestion,loss of appetite,
Allergy,runny nose,itchy eyes,,shortness of breath
Dengue,,high fever,vomiting,joint pain
Common Cold,fatigue,cough,congestion,sore throat
Migraine,sensitivity to sound,headache,high fever,
COVID-19,,loss of smell,,muscle pain
Asthma,shortness of breath,wheezing,chest pain,difficulty breathing
Asthma,cough,difficulty breathing,shortness of breath,
Asthma,difficulty breathing,shortness of breath,fatigue,cough
Allergy,rash,,itchy eyes,sneezing
Diabetes,,fatigue,blurred vision,
Dengue,high fever,,vomiting,nausea
Hypertension,headache,nosebleeds,blurred vision,shortness of breath
Pneumonia,cough,fatigue,sweating,fever
Common Cold,sore throat,headache,congestion,runny nose
Allergy,rash,,shortness of breath,sneezing
Pneumonia,sweating,chills,fatigue,chest pain
Allergy,runny nose,shortness of breath,itchy eyes,rash
Acid Peptic Disease,indigestion,,heartburn,vomiting
Anemia,headache,cold hands and feet,,fatigue
Common Cold,sore throat,,headache,cough
Migraine,vomiting,,headache,sensitivity to light
Dengue,,high fever,,joint pain
Dengue,,severe headache,rash,vomiting
Common Cold,fatigue,sore throat,congestion,headache
Dengue,nausea,high fever,vomiting,muscle pain
Allergy,,runny nose,,rash
Allergy,rash,cough,shortness of breath,runny nose
Common Cold,fatigue,congestion,runny nose,cough
Migraine,sensitivity to light,vomiting,dizziness,headache
Acid Peptic Disease,indigestion,,heartburn,loss of appetite
Common Cold,,congestion,,sneezing
Dengue,rash,muscle pain,vomiting,
Hypertension,,shortness of breath,dizziness,chest pain
Viral Fever,,fatigue,,chills
Typhoid,,stomach pain,loss of appetite,headache
Acid Peptic Disease,,loss of appetite,stomach pain,nausea
Typhoid,stomach pain,headache,weakness,diarrhea
Diabetes,unexplained weight loss,,frequent urination,
Hypertension,,shortness of breath,,blurred vision
Allergy,,sneezing,,itchy eyes
Diabetes,blurred vision,extreme hunger,frequent urination,fatigue
Dengue,nausea,vomiting,severe headache,rash
Migraine,,blurred vision,,dizziness
Asthma,,chest pain,cough,
Asthma,difficulty breathing,wheezing,cough,
Acid Peptic Disease,heartburn,vomiting,stomach pain,nausea
Diabetes,unexplained weight loss,blurred vision,fatigue,frequent urination
Acid Peptic Disease,heartburn,chest pain,loss of appetite,stomach pain
Pneumonia,chills,,sweating,difficulty breathing
Migraine,headache,sensitivity to light,dizziness,
Diabetes,increased thirst,fatigue,,
Diabetes,blurred vision,fatigue,extreme hunger,frequent urination
Malaria,nausea,sweating,loss of taste,vomiting
Typhoid,high fever,loss of appetite,,rash
Pneumonia,cough,fever,,
Typhoid,high fever,,,weakness
Common Cold,,,runny nose,sore throat
COVID-19,,,fever,muscle pain
Anemia,weakness,,,cold hands and feet
Pneumonia,difficulty breathing,,,fever
Asthma,chest pain,wheezing,,
Malaria,chills,nausea,muscle pain,
Allergy,itchy eyes,shortness of breath,cough,rash
Diabetes,,,extreme hunger,unexplained weight loss
Pneumonia,chills,,indigestion,sweating
Viral Fever,chills,fever,body ache,mild cough
Malaria,,vomiting,muscle pain,
Allergy,cough,rash,itchy eyes,
Pneumonia,chest pain,fatigue,chills,fever
Pneumonia,sweating,chest pain,chills,fatigue
Diabetes,,blurred vision,,fatigue
Dengue,muscle pain,vomiting,severe headache,nausea
Acid Peptic Disease,,stomach pain,heartburn,vomiting
Diabetes,,blurred vision,,extreme hunger
Common Cold,congestion,,sneezing,cough
Hypertension,chest pain,,,blurred vision
Allergy,shortness of breath,rash,sneezing,
Common Cold,cough,fatigue,runny nose,
Malaria,vomiting,fever,sweating,chills
Viral Fever,sweating,,,headache
Typhoid,stomach pain,,,high fever
Typhoid,rash,,headache,
Dengue,joint pain,severe headache,high fever,muscle pain
Common Cold,runny nose,sneezing,,
Hypertension,,chest pain,,nosebleeds
Typhoid,rash,high fever,weakness,headache
Asthma,chest pain,wheezing,fatigue,
Diabetes,frequent urination,fatigue,blurred vision,
Migraine,blurred vision,sensitivity to light,dizziness,sensitivity to sound
Gastroenteritis,vomiting,headache,,
Allergy,cough,shortness of breath,,itchy eyes
Acid Peptic Disease,stomach pain,muscle pain,vomiting,
Anemia,chest pain,,,fatigue
Hypertension,blurred vision,dizziness,chest pain,
COVID-19,fatigue,,difficulty breathing,loss of taste
Dengue,,vomiting,rash,sweating
COVID-19,,muscle pain,,loss of taste
Diabetes,blurred vision,runny nose,extreme hunger,frequent urination
COVID-19,loss of smell,loss of taste,fever,
Diabetes,unexplained weight loss,fatigue,extreme hunger,frequent urination
Malaria,,muscle pain,fever,nausea
Asthma,,difficulty breathing,shortness of breath,heartburn
Dengue,severe headache,,joint pain,nausea
Dengue,,rash,,muscle pain
Hypertension,,dizziness,headache,nosebleeds
Common Cold,sneezing,,fatigue,headache
Viral Fever,mild cough,sweating,headache,
Common Cold,,headache,sore throat,sneezing
Diabetes,fatigue,unexplained weight loss,increased thirst,blurred vision
Malaria,muscle pain,vomiting,chills,headache
Gastroenteritis,stomach pain,fever,diarrhea,vomiting
Asthma,,chest pain,wheezing,shortness of breath
Anemia,fatigue,cold hands and feet,,dizziness
Diabetes,body ache,,increased thirst,extreme hunger
Allergy,rash,shortness of breath,cough,
Hypertension,shortness of breath,nosebleeds,blurred vision,headache
Malaria,vomiting,,,sweating
Dengue,severe headache,rash,vomiting,joint pain
Acid Peptic Disease,loss of appetite,vomiting,indigestion,stomach pain
Asthma,wheezing,,difficulty breathing,cough
Malaria,chills,sweating,vomiting,nausea
Gastroenteritis,nausea,muscle ache,fever,headache
Anemia,pale skin,chest pain,headache,dizziness
Typhoid,rash,weakness,diarrhea,
Common Cold,,headache,sneezing,
Common Cold,runny nose,,sore throat,
Anemia,,cold hands and feet,weakness,
Viral Fever,,mild cough,,headache
COVID-19,fever,cough,loss of smell,loss of taste
Acid Peptic Disease,,nausea,loss of appetite,
Migraine,,,sensitivity to light,vomiting
Diabetes,,frequent urination,fatigue,blurred vision
Acid Peptic Disease,vomiting,nausea,,loss of appetite
Pneumonia,,,cough,chills
Malaria,sweating,,,chills
Allergy,rash,itchy eyes,shortness of breath,runny nose
Diabetes,fatigue,unexplained weight loss,,
Allergy,sneezing,rash,,runny nose
Acid Peptic Disease,indigestion,loss of appetite,vomiting,heartburn
Malaria,nausea,vomiting,,headache
Asthma,chest pain,wheezing,cough,difficulty breathing
Dengue,vomiting,nausea,rash,muscle pain
Diabetes,extreme hunger,fatigue,frequent urination,blurred vision
Hypertension,nosebleeds,dizziness,shortness of breath,blurred vision
Common Cold,,,congestion,sore throat
COVID-19,,cough,difficulty breathing,fever
Asthma,fatigue,difficulty breathing,shortness of breath,blurred vision
Pneumonia,cough,sweating,fever,chest pain
Gastroenteritis,,fever,muscle ache,
Anemia,chest pain,pale skin,,fatigue
Acid Peptic Disease,,nausea,vomiting,
Anemia,,,chest pain,dizziness
Hypertension,,shortness of breath,blurred vision,
Diabetes,blurred vision,increased thirst,extreme hunger,unexplained weight loss
Hypertension,blurred vision,dizziness,chest pain,headache
Diabetes,blurred vision,,extreme hunger,
Dengue,,severe headache,nausea,high fever
Hypertension,chest pain,nosebleeds,blurred vision,shortness of breath
Gastroenteritis,,vomiting,,fever
Malaria,fever,sweating,nausea,chills
Typhoid,,,stomach pain,high fever
Migraine,blurred vision,vomiting,dizziness,headache
Gastroenteritis,headache,,fever,muscle ache
Hypertension,nosebleeds,chest pain,dizziness,
Dengue,,severe headache,high fever,nausea
Common Cold,headache,,sore throat,cough
Acid Peptic Disease,nausea,stomach pain,,
Hypertension,,blurred vision,shortness of breath,chest pain
Typhoid,,headache,loss of appetite,high fever
Migraine,blurred vision,headache,sensitivity to sound,
Hypertension,chest pain,nosebleeds,headache,blurred vision
Malaria,chills,,headache,
Common Cold,,sneezing,fatigue,congestion
Gastroenteritis,headache,muscle ache,,nausea
Diabetes,blurred vision,pale skin,fatigue,frequent urination
Dengue,rash,,high fever,joint pain
Malaria,chills,nausea,headache,fever
Common Cold,sore throat,,headache,runny nose
Allergy,itchy eyes,rash,,
Viral Fever,sweating,mild cough,fatigue,fever
Pneumonia,fever,sweating,cough,fatigue
Migraine,sensitivity to light,,vomiting,headache
Diabetes,fatigue,extreme hunger,,blurred vision
Malaria,,headache,chills,
Dengue,,,rash,nausea
Pneumonia,fatigue,,chills,
Gastroenteritis,nausea,fever,diarrhea,headache
Anemia,,weakness,chest pain,
Anemia,headache,fatigue,cold hands and feet,pale skin
Malaria,headache,,,vomiting
COVID-19,difficulty breathing,cough,fatigue,loss of taste
Typhoid,stomach pain,rash,weakness,
Allergy,,,runny nose,cough
Diabetes,,unexplained weight loss,increased thirst,
Acid Peptic Disease,stomach pain,,indigestion,vomiting
Allergy,,sneezing,,runny nose
Viral Fever,,headache,,fatigue
Dengue,muscle pain,severe headache,joint pain,
Asthma,,chest pain,cough,fatigue
Migraine,sensitivity to sound,vomiting,dizziness,blurred vision
Anemia,,headache,,chest pain
Malaria,vomiting,sweating,nausea,headache
Migraine,headache,vomiting,heartburn,blurred vision
Common Cold,,cough,sore throat,headache
Acid Peptic Disease,loss of appetite,heartburn,stomach pain,
Gastroenteritis,headache,,nausea,diarrhea
Pneumonia,,sweating,cough,fatigue
Viral Fever,headache,fever,body ache,mild cough
COVID-19,difficulty breathing,cough,fever,loss of taste
Malaria,fever,muscle pain,sweating,headache
Gastroenteritis,headache,stomach pain,vomiting,nausea
Malaria,muscle pain,,sweating,vomiting
Migraine,nausea,vomiting,high fever,blurred vision
COVID-19,fatigue,loss of taste,,difficulty breathing
COVID-19,loss of taste,,loss of smell,cough
Anemia,,headache,chest pain,cold hands and feet
Dengue,nausea,high fever,joint pain,muscle pain
Viral Fever,body ache,chills,fever,headache
Asthma,difficulty breathing,wheezing,shortness of breath,fatigue
Dengue,high fever,,,severe headache
Typhoid,,stomach pain,,high fever
Malaria,muscle pain,chills,fever,sweating
COVID-19,,difficulty breathing,fever,loss of taste
Viral Fever,headache,fever,chills,fatigue
Hypertension,headache,dizziness,shortness of breath,chest pain
Dengue,,,rash,high fever
Hypertension,blurred vision,dizziness,headache,shortness of breath
Malaria,nausea,,vomiting,
Hypertension,,headache,dizziness,
Diabetes,increased thirst,,sneezing,fatigue
Diabetes,fatigue,unexplained weight loss,blurred vision,frequent urination
Asthma,fatigue,wheezing,,
Gastroenteritis,,,fever,headache
Common Cold,fatigue,cough,,runny nose
Allergy,,runny nose,,rash
Acid Peptic Disease,,,nausea,loss of appetite
Migraine,dizziness,sensitivity to light,sensitivity to sound,headache
Anemia,pale skin,fatigue,weakness,chest pain
Migraine,sensitivity to sound,vomiting,sensitivity to light,dizziness
Common Cold,runny nose,,congestion,fatigue
Typhoid,headache,weakness,loss of appetite,
Dengue,,,nausea,joint pain
Migraine,vomiting,sensitivity to light,nausea,sensitivity to sound
Typhoid,stomach pain,headache,extreme hunger,high fever
Diabetes,unexplained weight loss,,extreme hunger,blurred vision
Migraine,dizziness,nausea,blurred vision,sensitivity to light
Diabetes,blurred vision,fatigue,unexplained weight loss,
Acid Peptic Disease,indigestion,vomiting,,
Pneumonia,,difficulty breathing,fever,fatigue
Diabetes,,,increased thirst,extreme hunger
Common Cold,fatigue,cough,,
COVID-19,loss of smell,fatigue,fever,muscle ache
Common Cold,,,headache,sneezing
Anemia,pale skin,weakness,chest pain,headache
Asthma,chest pain,cough,difficulty breathing,wheezing
Common Cold,sore throat,sneezing,fatigue,congestion
Acid Peptic Disease,nausea,,loss of appetite,vomiting
Migraine,dizziness,vomiting,,sensitivity to sound
Migraine,,sensitivity to light,dizziness,
Migraine,sensitivity to sound,headache,vomiting,nausea
Allergy,sneezing,rash,cough,itchy eyes
Common Cold,sneezing,cough,fatigue,headache
Typhoid,loss of appetite,,stomach pain,rash
Migraine,,,dizziness,sensitivity to light
Hypertension,chest pain,,dizziness,blurred vision
Viral Fever,fever,chills,sweating,body ache
Diabetes,frequent urination,,,fatigue
Gastroenteritis,vomiting,stomach pain,,nausea
Viral Fever,mild cough,fever,body ache,fatigue
Anemia,headache,dizziness,cold hands and feet,fatigue
Diabetes,increased thirst,unexplained weight loss,blurred vision,extreme hunger
Hypertension,chest pain,dizziness,nosebleeds,headache
Gastroenteritis,vomiting,,fever,
COVID-19,,muscle pain,,difficulty breathing
Diabetes,blurred vision,,frequent urination,fatigue
Pneumonia,chills,fever,fatigue,chest pain
Viral Fever,mild cough,sweating,chills,headache
Malaria,vomiting,,sweating,chills
COVID-19,difficulty breathing,fever,cough,fatigue
Common Cold,,runny nose,,fatigue
Diabetes,,blurred vision,frequent urination,
Anemia,headache,dizziness,chest pain,cold hands and feet
Common Cold,cough,runny nose,headache,
Viral Fever,,mild cough,,fever
Pneumonia,fever,,cough,sweating
Hypertension,shortness of breath,chest pain,dizziness,nosebleeds
Viral Fever,mild cough,headache,body ache,
Viral Fever,,,mild cough,headache
COVID-19,cough,fever,difficulty breathing,muscle pain
Typhoid,stomach pain,headache,loss of appetite,rash
Common Cold,,sore throat,cough,congestion
Typhoid,diarrhea,rash,headache,loss of appetite
Pneumonia,chest pain,,fatigue,sweating
Allergy,cough,rash,runny nose,sneezing
Hypertension,dizziness,headache,,shortness of breath
Viral Fever,,body ache,fatigue,fever
COVID-19,,,difficulty breathing,fatigue
Allergy,,rash,itchy eyes,runny nose
Viral Fever,mild cough,,,chills
Asthma,chest pain,fatigue,cough,wheezing
Asthma,,wheezing,difficulty breathing,chest pain
Viral Fever,headache,body ache,chills,fatigue
COVID-19,muscle pain,loss of smell,loss of taste,difficulty breathing
Anemia,,headache,fatigue,
Acid Peptic Disease,loss of appetite,indigestion,,heartburn
Anemia,dizziness,,cold hands and feet,
Typhoid,,diarrhea,,high fever
Viral Fever,mild cough,sweating,headache,
Pneumonia,difficulty breathing,fatigue,,chills
Typhoid,weakness,rash,loss of appetite,stomach pain
Diabetes,blurred vision,increased thirst,extreme hunger,frequent urination
Dengue,muscle pain,,joint pain,nausea
Diabetes,blurred vision,frequent urination,extreme hunger,unexplained weight loss
Malaria,vomiting,headache,muscle pain,nausea
Acid Peptic Disease,vomiting,,heartburn,indigestion
Dengue,,vomiting,,joint pain
Migraine,vomiting,headache,,
Common Cold,cough,sore throat,,fatigue
Malaria,,vomiting,nausea,
Viral Fever,,,sweating,fever
Anemia,pale skin,,,chest pain
Viral Fever,mild cough,chills,fatigue,fever
Acid Peptic Disease,indigestion,nausea,heartburn,stomach pain
Dengue,joint pain,nausea,severe headache,vomiting
Malaria,headache,,muscle pain,
Hypertension,,shortness of breath,,headache
Pneumonia,cough,difficulty breathing,sweating,chills
Common Cold,cough,fatigue,headache,runny nose
Asthma,,chest pain,cough,
Migraine,sensitivity to sound,sensitivity to light,vomiting,blurred vision
Anemia,,chest pain,,pale skin
Viral Fever,sweating,headache,mild cough,fever
Migraine,dizziness,vomiting,nausea,sensitivity to sound
COVID-19,mild cough,muscle pain,fever,loss of taste
COVID-19,difficulty breathing,loss of taste,loss of smell,fatigue
Gastroenteritis,fever,diarrhea,nausea,stomach pain
Gastroenteritis,loss of taste,headache,fever,muscle ache
Hypertension,blurred vision,,nosebleeds,headache
Gastroenteritis,diarrhea,stomach pain,fever,
Allergy,runny nose,sneezing,rash,cough
Dengue,,,severe headache,vomiting
Asthma,wheezing,shortness of breath,difficulty breathing,fatigue
Hypertension,,shortness of breath,,chest pain
Allergy,runny nose,shortness of breath,,
Asthma,shortness of breath,,difficulty breathing,wheezing
Hypertension,blurred vision,headache,dizziness,nosebleeds
Typhoid,headache,weakness,muscle ache,high fever
Hypertension,shortness of breath,chest pain,blurred vision,heartburn
Diabetes,unexplained weight loss,increased thirst,,extreme hunger
Allergy,,runny nose,sneezing,rash
Typhoid,loss of appetite,high fever,rash,
Typhoid,joint pain,loss of appetite,high fever,
Anemia,,fatigue,weakness,cold hands and feet
Gastroenteritis,nausea,,,headache
Asthma,fatigue,,cough,
Dengue,vomiting,,joint pain,nausea
Common Cold,fatigue,runny nose,,cough
Gastroenteritis,,headache,,stomach pain
Diabetes,blurred vision,,increased thirst,
Allergy,sneezing,itchy eyes,runny nose,cough
Allergy,,itchy eyes,,rash
Gastroenteritis,muscle ache,headache,,nausea
Typhoid,,weakness,,diarrhea
COVID-19,cough,loss of taste,nausea,muscle pain
Typhoid,,high fever,loss of appetite,stomach pain
Anemia,dizziness,cold hands and feet,fatigue,headache
Allergy,sneezing,rash,itchy eyes,cough
Allergy,,itchy eyes,shortness of breath,cough
Anemia,,headache,weakness,dizziness
Anemia,,,weakness,fatigue
Asthma,chest pain,cough,fatigue,wheezing
Acid Peptic Disease,indigestion,,vomiting,stomach pain
COVID-19,muscle pain,,high fever,cough
Hypertension,blurred vision,headache,shortness of breath,chest pain
Allergy,,sneezing,cough,shortness of breath
COVID-19,loss of smell,fever,,loss of taste
Dengue,,joint pain,muscle pain,nausea
Gastroenteritis,,,diarrhea,headache
Dengue,muscle pain,severe headache,nausea,joint pain
Anemia,sneezing,weakness,fatigue,
Acid Peptic Disease,heartburn,stomach pain,loss of appetite,nausea
Malaria,fever,nausea,muscle pain,chills
Common Cold,,sore throat,headache,sneezing
Pneumonia,fever,chest pain,chills,difficulty breathing
Acid Peptic Disease,,,stomach pain,nausea
Common Cold,sore throat,runny nose,,
Dengue,severe headache,nausea,vomiting,muscle pain
Dengue,high fever,vomiting,muscle pain,rash
Common Cold,,congestion,fatigue,headache
Diabetes,extreme hunger,,increased thirst,
Typhoid,rash,,high fever,
Typhoid,loss of appetite,,rash,diarrhea
Hypertension,,shortness of breath,headache,chest pain
Diabetes,fatigue,extreme hunger,increased thirst,blurred vision
Gastroenteritis,runny nose,,fever,diarrhea
Diabetes,,fatigue,,unexplained weight loss
Typhoid,diarrhea,,weakness,
Acid Peptic Disease,nausea,heartburn,,
Dengue,rash,,severe headache,
Hypertension,shortness of breath,headache,blurred vision,chest pain
Typhoid,,headache,loss of appetite,rash
Gastroenteritis,muscle ache,stomach pain,fever,diarrhea
Common Cold,cough,fatigue,,headache
Diabetes,fatigue,frequent urination,unexplained weight loss,increased thirst
Allergy,runny nose,shortness of breath,cough,itchy eyes
Malaria,vomiting,,fever,muscle pain
Common Cold,congestion,headache,runny nose,cough
COVID-19,loss of taste,fever,difficulty breathing,loss of smell
Anemia,fatigue,chest pain,shortness of breath,cold hands and feet
Viral Fever,,sweating,headache,chills
Common Cold,,cough,congestion,
Viral Fever,sweating,chills,headache,mild cough
Acid Peptic Disease,stomach pain,loss of appetite,heartburn,vomiting
Allergy,rash,cough,shortness of breath,sneezing
Allergy,shortness of breath,runny nose,itchy eyes,sneezing
Typhoid,rash,diarrhea,,stomach pain
Asthma,,,chest pain,difficulty breathing
Gastroenteritis,stomach pain,diarrhea,nausea,muscle ache
Anemia,cold hands and feet,pale skin,,
Common Cold,headache,sore throat,congestion,runny nose
Migraine,vomiting,headache,blurred vision,sensitivity to light
Migraine,sensitivity to light,sensitivity to sound,nausea,headache
Dengue,nausea,muscle pain,rash,high fever
Diabetes,,increased thirst,,frequent urination
Dengue,,severe headache,joint pain,
Anemia,pale skin,fatigue,,
Viral Fever,body ache,mild cough,fatigue,sweating
Viral Fever,chills,headache,body ache,fatigue
Malaria,chills,muscle pain,nausea,vomiting
Allergy,sneezing,cough,itchy eyes,shortness of breath
Asthma,,,chest pain,wheezing
Diabetes,extreme hunger,,,increased thirst
Common Cold,sneezing,fatigue,runny nose,headache
Dengue,nausea,vomiting,joint pain,severe headache
Anemia,,,headache,pale skin
Acid Peptic Disease,,nausea,stomach pain,loss of appetite
Acid Peptic Disease,loss of appetite,,stomach pain,indigestion
Asthma,chest pain,fatigue,wheezing,headache
COVID-19,,,loss of taste,cough
Typhoid,weakness,headache,,stomach pain
Anemia,dizziness,fatigue,headache,pale skin
Common Cold,congestion,sore throat,,cough
Gastroenteritis,diarrhea,headache,,muscle ache
Viral Fever,headache,sweating,mild cough,
Gastroenteritis,muscle ache,headache,vomiting,
Diabetes,increased thirst,blurred vision,fatigue,unexplained weight loss
Dengue,joint pain,nausea,muscle pain,
Migraine,nausea,sensitivity to light,,vomiting
Gastroenteritis,diarrhea,stomach pain,headache,fever
Anemia,pale skin,,headache,dizziness
COVID-19,cough,difficulty breathing,loss of taste,
Hypertension,blurred vision,dizziness,shortness of breath,nosebleeds
Pneumonia,sweating,chills,cough,fever
Migraine,,nausea,vomiting,
Malaria,,,fever,sweating
Acid Peptic Disease,,weakness,heartburn,vomiting
Asthma,difficulty breathing,chest pain,,
Viral Fever,sweating,,fever,
Diabetes,extreme hunger,,,increased thirst
Gastroenteritis,diarrhea,nausea,,fever
Anemia,weakness,dizziness,headache,pale skin
Acid Peptic Disease,loss of appetite,heartburn,vomiting,nausea
Hypertension,nosebleeds,,shortness of breath,weakness
Hypertension,nosebleeds,headache,sore throat,blurred vision
Migraine,nausea,,sensitivity to sound,blurred vision
Acid Peptic Disease,stomach pain,,,nausea
Malaria,nausea,chills,headache,
Viral Fever,headache,sweating,body ache,chills
Malaria,fever,nausea,muscle pain,sweating
Malaria,,fever,vomiting,
Anemia,weakness,dizziness,pale skin,fatigue
Malaria,nausea,headache,vomiting,sweating
Allergy,runny nose,shortness of breath,itchy eyes,rash
Typhoid,,rash,,loss of appetite
Anemia,headache,pale skin,chest pain,fatigue
Dengue,rash,severe headache,high fever,joint pain
Allergy,,cough,sneezing,shortness of breath
COVID-19,muscle pain,loss of smell,,
Asthma,chest pain,shortness of breath,,
Anemia,chest pain,,,pale skin
Typhoid,stomach pain,diarrhea,headache,weakness
Migraine,sensitivity to sound,headache,sensitivity to light,dizziness
Hypertension,blurred vision,dizziness,shortness of breath,
Common Cold,runny nose,,chills,cough
Malaria,muscle pain,vomiting,fever,
Typhoid,diarrhea,headache,,stomach pain
Dengue,vomiting,,,muscle pain
Diabetes,fatigue,extreme hunger,blurred vision,unexplained weight loss
Anemia,pale skin,,chest pain,headache
Typhoid,weakness,loss of appetite,stomach pain,rash
Allergy,cough,runny nose,itchy eyes,rash
Hypertension,chest pain,,blurred vision,
Hypertension,shortness of breath,nosebleeds,,dizziness
Asthma,cough,,shortness of breath,difficulty breathing
Asthma,wheezing,,shortness of breath,difficulty breathing
COVID-19,muscle pain,fatigue,cough,
Diabetes,blurred vision,frequent urination,increased thirst,extreme hunger
Common Cold,sore throat,sneezing,congestion,fatigue
Malaria,chills,muscle pain,headache,fever
Hypertension,chest pain,headache,blurred vision,nosebleeds
Diabetes,unexplained weight loss,extreme hunger,blurred vision,fatigue
Dengue,nausea,,,severe headache
Acid Peptic Disease,,stomach pain,vomiting,heartburn
Hypertension,chest pain,,,shortness of breath
Gastroenteritis,,vomiting,stomach pain,muscle ache
Common Cold,,runny nose,congestion,fatigue
Allergy,shortness of breath,rash,itchy eyes,
Migraine,blurred vision,nausea,headache,vomiting
Gastroenteritis,,nausea,stomach pain,vomiting
Common Cold,congestion,headache,sore throat,sneezing
Pneumonia,difficulty breathing,cough,fatigue,sweating
Migraine,nausea,sensitivity to sound,,vomiting
Gastroenteritis,headache,diarrhea,stomach pain,
Typhoid,,,diarrhea,rash
Anemia,pale skin,weakness,fatigue,
Hypertension,chest pain,headache,dizziness,nosebleeds
Allergy,runny nose,shortness of breath,rash,itchy eyes
Asthma,,shortness of breath,,chest pain
COVID-19,loss of taste,cough,loss of smell,difficulty breathing
COVID-19,fatigue,muscle pain,,fever
Diabetes,increased thirst,unexplained weight loss,fatigue,frequent urination
Allergy,shortness of breath,rash,,
Hypertension,,,nosebleeds,dizziness
Viral Fever,,headache,fatigue,chills
Allergy,rash,sneezing,itchy eyes,runny nose
Typhoid,rash,weakness,,
Diabetes,blurred vision,fatigue,extreme hunger,
Anemia,fatigue,pale skin,dizziness,cold hands and feet
Dengue,,joint pain,vomiting,severe headache
Asthma,shortness of breath,cough,wheezing,fatigue
Acid Peptic Disease,vomiting,indigestion,,stomach pain
Allergy,,cough,runny nose,sneezing
Acid Peptic Disease,heartburn,indigestion,stomach pain,nausea
Gastroenteritis,headache,vomiting,increased thirst,stomach pain
Hypertension,nosebleeds,blurred vision,dizziness,chest pain
Viral Fever,,sweating,fever,chills
Malaria,fever,,sweating,headache
Anemia,cold hands and feet,dizziness,,chest pain
Typhoid,diarrhea,headache,loss of appetite,rash
Common Cold,congestion,sneezing,weakness,sore throat
Hypertension,nosebleeds,headache,shortness of breath,blurred vision
Viral Fever,body ache,sweating,mild cough,headache
Hypertension,blurred vision,shortness of breath,nosebleeds,chest pain
Asthma,difficulty breathing,cough,,
Viral Fever,,body ache,,sweating
Dengue,,,nausea,rash
Diabetes,unexplained weight loss,extreme hunger,,frequent urination
Typhoid,headache,stomach pain,,rash
COVID-19,difficulty breathing,,,fatigue
Hypertension,,shortness of breath,,chest pain
Diabetes,,unexplained weight loss,,blurred vision
Anemia,chest pain,weakness,pale skin,fatigue
Pneumonia,,chills,,sweating
Anemia,headache,,dizziness,
Malaria,,headache,,vomiting
Common Cold,,,sneezing,congestion
Pneumonia,,,fatigue,cough
COVID-19,difficulty breathing,cough,loss of smell,fatigue
Migraine,sensitivity to light,sensitivity to sound,vomiting,headache
Typhoid,rash,,headache,loss of appetite
Viral Fever,headache,fever,,mild cough
Dengue,nausea,heartburn,vomiting,severe headache
Diabetes,blurred vision,unexplained weight loss,increased thirst,extreme hunger
Allergy,shortness of breath,sneezing,cough,itchy eyes
Allergy,itchy eyes,,,sneezing
Viral Fever,headache,body ache,,
Dengue,high fever,,muscle pain,joint pain
